customer_id,file_date,source_updated_at,fico_score,risk_band_code,is_late_arrival,source_system
CUST-106512,2025-04-03,2025-04-12,749,R2,True,CREDIT_BUREAU
CUST-105222,2025-04-03,2025-04-12,742,R2,True,CREDIT_BUREAU
CUST-107237,2025-04-03,2025-04-12,656,R5,True,CREDIT_BUREAU
CUST-105404,2025-04-03,2025-04-12,705,R3,True,CREDIT_BUREAU
CUST-107763,2025-04-03,2025-04-12,717,R3,True,CREDIT_BUREAU
CUST-105437,2025-04-03,2025-04-12,437,R7,True,CREDIT_BUREAU
CUST-104478,2025-04-03,2025-04-12,779,R2,True,CREDIT_BUREAU
CUST-103766,2025-04-03,2025-04-12,698,R4,True,CREDIT_BUREAU
CUST-106847,2025-04-03,2025-04-12,753,R2,True,CREDIT_BUREAU
CUST-101697,2025-04-03,2025-04-12,768,R2,True,CREDIT_BUREAU
CUST-106981,2025-04-03,2025-04-12,812,R1,True,CREDIT_BUREAU
CUST-103955,2025-04-03,2025-04-12,771,R2,True,CREDIT_BUREAU
CUST-101719,2025-04-03,2025-04-12,632,R5,True,CREDIT_BUREAU
CUST-104387,2025-04-03,2025-04-12,719,R3,True,CREDIT_BUREAU
CUST-103664,2025-04-03,2025-04-12,597,R6,True,CREDIT_BUREAU
CUST-105998,2025-04-03,2025-04-12,733,R3,True,CREDIT_BUREAU
CUST-100643,2025-04-03,2025-04-12,628,R5,True,CREDIT_BUREAU
CUST-104145,2025-04-03,2025-04-12,764,R2,True,CREDIT_BUREAU
CUST-101033,2025-04-03,2025-04-12,778,R2,True,CREDIT_BUREAU
CUST-104757,2025-04-03,2025-04-12,766,R2,True,CREDIT_BUREAU
CUST-100890,2025-04-03,2025-04-12,694,R4,True,CREDIT_BUREAU
CUST-102254,2025-04-03,2025-04-12,810,R1,True,CREDIT_BUREAU
CUST-102012,2025-04-03,2025-04-12,818,R1,True,CREDIT_BUREAU
CUST-103797,2025-04-03,2025-04-12,608,R6,True,CREDIT_BUREAU
CUST-103908,2025-04-03,2025-04-12,614,R6,True,CREDIT_BUREAU
CUST-106327,2025-04-03,2025-04-12,682,R4,True,CREDIT_BUREAU
CUST-105918,2025-04-03,2025-04-12,818,R1,True,CREDIT_BUREAU
CUST-104453,2025-04-03,2025-04-12,638,R5,True,CREDIT_BUREAU
CUST-100436,2025-04-03,2025-04-12,589,R6,True,CREDIT_BUREAU
CUST-106362,2025-04-03,2025-04-12,801,R1,True,CREDIT_BUREAU
CUST-105905,2025-04-03,2025-04-12,604,R6,True,CREDIT_BUREAU
CUST-102545,2025-04-03,2025-04-12,430,R7,True,CREDIT_BUREAU
CUST-105233,2025-04-03,2025-04-12,438,R7,True,CREDIT_BUREAU
CUST-107872,2025-04-03,2025-04-12,638,R5,True,CREDIT_BUREAU
CUST-105568,2025-04-03,2025-04-12,619,R6,True,CREDIT_BUREAU
CUST-106786,2025-04-03,2025-04-12,423,R7,True,CREDIT_BUREAU
CUST-103321,2025-04-03,2025-04-12,633,R5,True,CREDIT_BUREAU
CUST-100466,2025-04-03,2025-04-12,670,R4,True,CREDIT_BUREAU
CUST-107536,2025-04-03,2025-04-12,690,R4,True,CREDIT_BUREAU
CUST-107055,2025-04-03,2025-04-12,725,R3,True,CREDIT_BUREAU
CUST-104886,2025-04-03,2025-04-12,726,R3,True,CREDIT_BUREAU
CUST-100691,2025-04-03,2025-04-12,809,R1,True,CREDIT_BUREAU
CUST-101313,2025-04-03,2025-04-12,815,R1,True,CREDIT_BUREAU
CUST-103985,2025-04-03,2025-04-12,735,R3,True,CREDIT_BUREAU
