contact_id,loan_id,customer_id,contact_date,collector_id,channel_code,contact_direction,contact_outcome,is_rpc_flag,call_duration_seconds,complaint_flag,source_system,is_corrupt_record
CTC-60000014,LN-500027,CUST-103608,2025-04-27,COL-1070,OUTBOUND_CALL,Outbound,Right Party Contact,True,570.0,False,CALL_CENTER,False
CTC-60000127,LN-500236,CUST-105684,2025-04-27,COL-1025,OUTBOUND_CALL,Outbound,Wrong Party,False,41.0,False,CALL_CENTER,False
CTC-60001224,LN-502426,CUST-103503,2025-04-27,COL-1025,OUTBOUND_CALL,Outbound,Right Party Contact,True,419.0,False,CALL_CENTER,False
CTC-60002046,LN-504003,CUST-105665,2025-04-27,COL-1088,OUTBOUND_CALL,Outbound,No Answer,False,32.0,False,CALL_CENTER,False
CTC-60002486,LN-504841,CUST-103691,2025-04-27,COL-1015,OUTBOUND_CALL,Outbound,Voicemail,False,25.0,False,CALL_CENTER,False
CTC-60002754,LN-505394,CUST-103114,2025-04-27,COL-1078,OUTBOUND_CALL,Outbound,Right Party Contact,True,263.0,False,CALL_CENTER,False
CTC-60002804,LN-505481,CUST-100197,2025-04-27,COL-1011,OUTBOUND_CALL,Outbound,Wrong Party,False,33.0,False,CALL_CENTER,False
CTC-60002958,LN-505874,CUST-103422,2025-04-27,COL-1078,OUTBOUND_CALL,Outbound,Right Party Contact,True,527.0,False,CALL_CENTER,False
CTC-60003218,LN-506409,CUST-103687,2025-04-27,COL-1020,OUTBOUND_CALL,Outbound,Wrong Party,False,38.0,False,CALL_CENTER,False
CTC-60003570,LN-507056,CUST-106797,2025-04-27,COL-1088,OUTBOUND_CALL,Outbound,Right Party Contact,True,463.0,False,CALL_CENTER,False
CTC-60003715,LN-507297,CUST-106976,2025-04-27,COL-1011,OUTBOUND_CALL,Outbound,Right Party Contact,True,594.0,False,CALL_CENTER,False
CTC-60004343,LN-508707,CUST-107819,2025-04-27,COL-1088,OUTBOUND_CALL,Outbound,Busy,False,41.0,False,CALL_CENTER,False
CTC-60004480,LN-508909,CUST-106304,2025-04-27,COL-1019,OUTBOUND_CALL,Outbound,Right Party Contact,True,575.0,False,CALL_CENTER,False
CTC-60004562,LN-509129,CUST-102944,2025-04-27,COL-1078,OUTBOUND_CALL,Outbound,Right Party Contact,True,108.0,False,CALL_CENTER,False
CTC-60004686,LN-509366,CUST-104962,2025-04-27,COL-1044,OUTBOUND_CALL,Outbound,Voicemail,False,8.0,False,CALL_CENTER,False
CTC-60004825,LN-509629,CUST-104191,2025-04-27,COL-1088,OUTBOUND_CALL,Outbound,Right Party Contact,True,156.0,False,CALL_CENTER,False
CTC-60005580,LN-501384,CUST-106937,2025-04-27,COL-1014,OUTBOUND_CALL,Outbound,Right Party Contact,True,465.0,False,CALL_CENTER,False
CTC-60006687,LN-504178,CUST-101791,2025-04-27,COL-1046,OUTBOUND_CALL,Outbound,Right Party Contact,True,514.0,False,CALL_CENTER,False
CTC-60008482,LN-509235,CUST-101670,2025-04-27,COL-1069,OUTBOUND_CALL,Outbound,No Answer,False,19.0,False,CALL_CENTER,False
CTC-60008824,LN-509963,CUST-107802,2025-04-27,COL-1000,OUTBOUND_CALL,Outbound,Right Party Contact,True,462.0,False,CALL_CENTER,False
CTC-60009048,LN-500684,CUST-103766,2025-04-27,COL-1085,OUTBOUND_CALL,Outbound,Right Party Contact,True,471.0,False,CALL_CENTER,False
CTC-60009399,LN-502013,CUST-101386,2025-04-27,COL-1032,OUTBOUND_CALL,Outbound,Right Party Contact,True,573.0,False,CALL_CENTER,False
CTC-60009492,LN-502236,CUST-107096,2025-04-27,COL-1086,OUTBOUND_CALL,Outbound,No Answer,False,33.0,False,CALL_CENTER,False
CTC-60009574,LN-502477,CUST-100598,2025-04-27,COL-1012,OUTBOUND_CALL,Outbound,Right Party Contact,True,440.0,False,CALL_CENTER,False
CTC-60009929,LN-503616,CUST-102751,2025-04-27,COL-1040,OUTBOUND_CALL,Outbound,Voicemail,False,8.0,False,CALL_CENTER,False
CTC-60010008,LN-503822,CUST-101665,2025-04-27,COL-1018,OUTBOUND_CALL,Outbound,Voicemail,False,13.0,False,CALL_CENTER,False
CTC-60010265,LN-504565,CUST-105071,2025-04-27,COL-1104,OUTBOUND_CALL,Outbound,Wrong Party,False,24.0,False,CALL_CENTER,False
CTC-60011923,LN-500093,CUST-107444,2025-04-27,COL-1092,OUTBOUND_CALL,Outbound,No Answer,False,33.0,False,CALL_CENTER,False
CTC-60012241,LN-500818,CUST-104587,2025-04-27,COL-1113,OUTBOUND_CALL,Outbound,Wrong Party,False,14.0,False,CALL_CENTER,False
CTC-60013322,LN-502949,CUST-106543,2025-04-27,COL-1075,OUTBOUND_CALL,Outbound,No Answer,False,15.0,False,CALL_CENTER,False
CTC-60014935,LN-505500,CUST-100110,2025-04-27,COL-1057,OUTBOUND_CALL,Outbound,No Answer,False,35.0,False,CALL_CENTER,False
