contact_id,loan_id,customer_id,contact_date,collector_id,channel_code,contact_direction,contact_outcome,is_rpc_flag,call_duration_seconds,complaint_flag,source_system,is_corrupt_record
CTC-60000167,LN-500314,CUST-102690,2025-03-10,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000408,LN-500761,CUST-106834,2025-03-10,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000540,LN-500937,CUST-103056,2025-03-10,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001316,LN-502600,CUST-105937,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001819,LN-503573,CUST-102960,2025-03-10,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001883,LN-503710,CUST-106661,2025-03-10,,IVR,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60001889,LN-503719,CUST-103547,2025-03-10,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002479,LN-504837,CUST-100067,2025-03-10,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002715,LN-505311,CUST-105141,2025-03-10,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002772,LN-505420,CUST-103825,2025-03-10,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002846,LN-505625,CUST-105675,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002851,LN-505647,CUST-105103,2025-03-10,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003445,LN-506806,CUST-105913,2025-03-10,,SMS,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60003467,LN-506853,CUST-103785,2025-03-10,,SMS,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60003582,LN-507072,CUST-105007,2025-03-10,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003733,LN-507319,CUST-100668,2025-03-10,,LETTER,Outbound,Returned Mail,False,,False,COLLECTIONS_PLATFORM,False
CTC-60003787,LN-507465,CUST-103560,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004399,LN-508801,CUST-104919,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004925,LN-509794,CUST-100369,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004934,LN-509834,CUST-100166,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004958,LN-509857,CUST-100596,2025-03-10,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005146,LN-500211,CUST-107222,2025-03-10,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005223,LN-500338,CUST-105481,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005391,LN-500799,CUST-103561,2025-03-10,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005748,LN-501714,CUST-104015,2025-03-10,,LETTER,Outbound,Returned Mail,False,,False,COLLECTIONS_PLATFORM,False
CTC-60005942,LN-502314,CUST-106403,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60006330,LN-503300,CUST-102287,2025-03-10,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60006700,LN-504182,CUST-105755,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60006816,LN-504565,CUST-105071,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60006851,LN-504667,CUST-102385,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60006988,LN-505129,CUST-103250,2025-03-10,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
