contact_id,loan_id,customer_id,contact_date,collector_ref_id,channel_code,contact_direction,contact_outcome,is_rpc_flag,call_duration_seconds,complaint_flag,source_system,is_corrupt_record
CTC-60000288,LN-500461,CUST-103951,2025-06-29,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000390,LN-500723,CUST-100638,2025-06-29,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60000835,LN-501600,CUST-107767,2025-06-29,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001164,LN-502313,CUST-102162,2025-06-29,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001388,LN-502715,CUST-104253,2025-06-29,,SMS,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60001640,LN-503241,CUST-107175,2025-06-29,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60001803,LN-503520,CUST-103565,2025-06-29,,IVR,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60001816,LN-503559,CUST-107957,2025-06-29,,EMAIL,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60002009,LN-503934,CUST-100364,2025-06-29,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002206,LN-504333,CUST-100494,2025-06-29,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002291,LN-504500,CUST-106953,2025-06-29,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002637,LN-505155,CUST-104136,2025-06-29,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60002838,LN-505607,CUST-101978,2025-06-29,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003032,LN-505995,CUST-105289,2025-06-29,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003213,LN-506390,CUST-100971,2025-06-29,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003655,LN-507249,CUST-106960,2025-06-29,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60003783,LN-507450,CUST-106123,2025-06-29,,LETTER,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004320,LN-508633,CUST-103722,2025-06-29,,LETTER,Outbound,Returned Mail,False,,False,COLLECTIONS_PLATFORM,False
CTC-60004346,LN-508721,CUST-107981,2025-06-29,,IVR,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004414,LN-508810,CUST-106299,2025-06-29,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60004763,LN-509520,CUST-103615,2025-06-29,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005309,LN-500628,CUST-103504,2025-06-29,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005396,LN-500832,CUST-101968,2025-06-29,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005416,LN-500932,CUST-100243,2025-06-29,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005492,LN-501163,CUST-100677,2025-06-29,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005520,LN-501223,CUST-105761,2025-06-29,,IVR,Outbound,Undeliverable,False,,False,COLLECTIONS_PLATFORM,False
CTC-60005730,LN-501671,CUST-103893,2025-06-29,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005933,LN-502244,CUST-102719,2025-06-29,,SMS,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
CTC-60005935,LN-502260,CUST-103736,2025-06-29,,EMAIL,Outbound,Delivered,True,,False,COLLECTIONS_PLATFORM,False
