ptp_id,loan_id,customer_id,contact_id,collector_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700013,LN-500201,CUST-100687,CTC-60000105,COL-1010,2025-02-19,2025-03-04,132.13,Broken,0.0,
PTP-700372,LN-507114,CUST-106578,CTC-60003609,COL-1078,2025-02-19,2025-02-22,63.34,Broken,0.0,
PTP-700628,LN-502395,CUST-106279,CTC-60005988,COL-1050,2025-02-19,2025-02-24,272.3,Partial,115.07,2025-02-24
PTP-700732,LN-505448,CUST-106268,CTC-60007121,COL-1000,2025-02-19,2025-02-24,270.24,Kept,270.24,2025-02-23
PTP-700815,LN-507845,CUST-100095,CTC-60007947,COL-1054,2025-02-19,2025-02-22,172.91,Kept,172.91,2025-02-23
PTP-700936,LN-501155,CUST-102262,CTC-60009164,COL-1119,2025-02-19,2025-02-25,293.76,Kept,293.76,2025-02-23
PTP-701283,LN-501523,CUST-101116,CTC-60012575,COL-1108,2025-02-19,2025-02-22,798.82,Kept,798.82,2025-02-24
PTP-701327,LN-502315,CUST-100338,CTC-60013006,COL-1082,2025-02-19,2025-03-05,494.45,Kept,494.45,2025-02-21
PTP-701625,LN-507214,CUST-103043,CTC-60015901,COL-1092,2025-02-19,2025-03-04,471.99,Partial,203.84,2025-03-04
PTP-701729,LN-508542,CUST-104886,CTC-60016928,COL-1009,2025-02-19,2025-02-26,313.43,Kept,313.43,2025-02-25
PTP-701829,LN-507018,CUST-105535,CTC-60015758,COL-1094,2025-02-19,2025-03-03,700.75,Partial,153.7,2025-03-03
