ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-700084,LN-501582,CUST-102813,CTC-60000825,COL-1096,2025-05-11,2025-05-21,148.63,Broken,0.0,
PTP-700120,LN-502426,CUST-103503,CTC-60001225,COL-1116,2025-05-11,2025-05-15,95.49,Partial,36.58,2025-05-15
PTP-700288,LN-505665,CUST-104813,CTC-60002854,COL-1033,2025-05-11,2025-05-15,94.43,Kept,94.43,2025-05-15
PTP-700434,LN-508360,CUST-103058,CTC-60004215,COL-1019,2025-05-11,2025-05-15,50.0,Broken,0.0,
PTP-700651,LN-503154,CUST-104307,CTC-60006276,COL-1018,2025-05-11,2025-05-20,199.92,Broken,0.0,
PTP-700757,LN-505927,CUST-102626,CTC-60007295,COL-1030,2025-05-11,2025-05-15,270.66,Partial,188.11,2025-05-15
PTP-700768,LN-506348,CUST-105554,CTC-60007398,COL-1046,2025-05-11,2025-05-20,220.36,Kept,220.36,2025-05-20
PTP-700778,LN-506601,CUST-103359,CTC-60007459,COL-1046,2025-05-11,2025-05-15,318.46,Kept,318.46,2025-05-17
PTP-700792,LN-507187,CUST-100039,CTC-60007680,COL-1007,2025-05-11,2025-05-25,184.9,Kept,184.9,2025-05-23
PTP-700796,LN-507309,CUST-103592,CTC-60007727,COL-1050,2025-05-11,2025-05-24,375.19,Kept,375.19,2025-05-24
PTP-700885,LN-509556,CUST-106536,CTC-60008602,COL-1050,2025-05-11,2025-05-25,354.39,Kept,354.39,2025-05-23
PTP-701309,LN-501873,CUST-104297,CTC-60012811,COL-1006,2025-05-11,2025-05-20,618.27,Kept,618.27,2025-05-16
PTP-701563,LN-506220,CUST-100063,CTC-60015267,COL-1084,2025-05-11,2025-05-14,2859.28,Partial,1159.91,2025-05-14
PTP-701799,LN-509683,CUST-102576,CTC-60017534,COL-1017,2025-05-11,2025-05-17,973.63,Partial,294.56,2025-05-17
