payment_id,loan_id,customer_id,payment_date,payment_amount,scheduled_amount,payment_type,payment_method,payment_status,is_reversal_flag,nsf_flag,original_payment_id,effective_date,ingestion_date,is_late_arrival,is_corrupt_record
PMT-9007961,LN-503113,CUST-105494,2025-02-05,822.04,822.04,Scheduled,Debit Card,Posted,False,False,,2025-02-05,2025-02-15,True,False
PMT-9007986,LN-500513,CUST-103158,2025-02-05,730.13,730.13,Scheduled,ACH,Posted,False,False,,2025-02-05,2025-02-15,True,False
PMT-9008012,LN-506203,CUST-104042,2025-02-05,1453.1,1453.1,Scheduled,ACH,Posted,False,False,,2025-02-05,2025-02-15,True,False
PMT-9008054,LN-508955,CUST-106525,2025-02-06,17964.28,38769.91500000001,Settlement,ACH,Posted,False,False,,2025-02-06,2025-02-15,True,False
PMT-9008194,LN-501347,CUST-101067,2025-02-06,797.14,797.14,Scheduled,ACH,Posted,False,False,,2025-02-06,2025-02-15,True,False
PMT-9008270,LN-502317,CUST-105305,2025-02-06,266.21,266.21,Scheduled,Check,Posted,False,False,,2025-02-06,2025-02-15,True,False
PMT-9008483,LN-501706,CUST-101692,2025-02-07,542.59,542.59,Scheduled,Check,Posted,False,False,,2025-02-07,2025-02-15,True,False
PMT-9008549,LN-502557,CUST-104494,2025-02-07,896.7,896.7,Scheduled,ACH,Posted,False,False,,2025-02-07,2025-02-15,True,False
PMT-9010279,LN-509237,CUST-107794,2025-02-15,58.87,58.87,Scheduled,Check,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010280,LN-509208,CUST-102782,2025-02-15,333.07,333.07,Scheduled,Debit Card,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010281,LN-507066,CUST-102202,2025-02-15,473.73,473.73,Scheduled,ACH,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010282,LN-502174,CUST-107345,2025-02-15,44.42,0.0,Extra,ACH,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010283,LN-500819,CUST-104595,2025-02-15,178.58,0.0,Extra,Debit Card,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010284,LN-501124,CUST-102452,2025-02-15,1220.77,1220.77,Scheduled,ACH,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010285,LN-502403,CUST-101614,2025-02-15,430.26,430.26,Scheduled,ACH,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010286,LN-501057,CUST-102557,2025-02-15,200.04,200.04,Scheduled,Check,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010287,LN-502351,CUST-105160,2025-02-15,134.23,134.23,Scheduled,ACH,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010288,LN-500626,CUST-103630,2025-02-15,856.26,856.26,Scheduled,Cash,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010289,LN-505307,CUST-106362,2025-02-15,314.1,314.1,Scheduled,ACH,Posted,False,False,,2025-02-15,2025-02-15,False,False
PMT-9010290,LN-507009,CUST-102851,2025-02-15,180.91,180.91,Scheduled,ACH,Posted,False,False,,2025-02-15,2025-02-15,False,False
