loan_id,customer_id,file_date,internal_risk_score,risk_band_code,source_system,fraud_flag
LN-500000,CUST-107530,2025-05-02,708.0,R3,RISK_ENGINE,False
LN-500001,CUST-104707,2025-05-02,760.0,R2,RISK_ENGINE,False
LN-500002,CUST-106152,2025-05-02,635.0,R5,RISK_ENGINE,False
LN-500003,CUST-104109,2025-05-02,758.0,R2,RISK_ENGINE,False
LN-500004,CUST-105507,2025-05-02,812.0,R1,RISK_ENGINE,False
LN-500005,CUST-104278,2025-05-02,674.0,R4,RISK_ENGINE,False
LN-500006,CUST-104241,2025-05-02,820.0,R1,RISK_ENGINE,False
LN-500007,CUST-107789,2025-05-02,745.0,R2,RISK_ENGINE,False
LN-500008,CUST-107775,2025-05-02,763.0,R2,RISK_ENGINE,False
LN-500009,CUST-104996,2025-05-02,708.0,R3,RISK_ENGINE,False
LN-500010,CUST-103092,2025-05-02,640.0,R5,RISK_ENGINE,False
LN-500011,CUST-107344,2025-05-02,631.0,R5,RISK_ENGINE,False
LN-500012,CUST-102210,2025-05-02,759.0,R2,RISK_ENGINE,False
LN-500013,CUST-104867,2025-05-02,725.0,R3,RISK_ENGINE,False
LN-500014,CUST-107938,2025-05-02,645.0,R5,RISK_ENGINE,False
LN-500015,CUST-105329,2025-05-02,755.0,R2,RISK_ENGINE,False
LN-500016,CUST-103631,2025-05-02,824.0,R1,RISK_ENGINE,False
LN-500017,CUST-107021,2025-05-02,723.0,R3,RISK_ENGINE,False
LN-500018,CUST-101203,2025-05-02,629.0,R5,RISK_ENGINE,False
LN-500019,CUST-105349,2025-05-02,629.0,R5,RISK_ENGINE,False
LN-500020,CUST-103961,2025-05-02,731.0,R3,RISK_ENGINE,False
LN-500021,CUST-100216,2025-05-02,823.0,R1,RISK_ENGINE,False
LN-500022,CUST-102541,2025-05-02,818.0,R1,RISK_ENGINE,False
LN-500023,CUST-101789,2025-05-02,685.0,R4,RISK_ENGINE,False
LN-500024,CUST-106375,2025-05-02,650.0,R5,RISK_ENGINE,False
LN-500025,CUST-102800,2025-05-02,815.0,R1,RISK_ENGINE,False
LN-500026,CUST-106068,2025-05-02,631.0,R5,RISK_ENGINE,False
LN-500027,CUST-103608,2025-05-02,772.0,R2,RISK_ENGINE,False
LN-500028,CUST-105200,2025-05-02,612.0,R6,RISK_ENGINE,False
LN-500029,CUST-102872,2025-05-02,705.0,R3,RISK_ENGINE,False
LN-500030,CUST-104122,2025-05-02,631.0,R5,RISK_ENGINE,False
LN-500031,CUST-105559,2025-05-02,637.0,R5,RISK_ENGINE,False
LN-500032,CUST-100299,2025-05-02,757.0,R2,RISK_ENGINE,False
LN-500033,CUST-101498,2025-05-02,677.0,R4,RISK_ENGINE,False
LN-500034,CUST-106328,2025-05-02,592.0,R6,RISK_ENGINE,False
LN-500035,CUST-101844,2025-05-02,640.0,R5,RISK_ENGINE,False
LN-500036,CUST-107229,2025-05-02,641.0,R5,RISK_ENGINE,False
LN-500037,CUST-106505,2025-05-02,802.0,R1,RISK_ENGINE,False
LN-500038,CUST-100918,2025-05-02,710.0,R3,RISK_ENGINE,False
LN-500039,CUST-100339,2025-05-02,595.0,R6,RISK_ENGINE,False
LN-500040,CUST-102235,2025-05-02,598.0,R6,RISK_ENGINE,False
LN-500041,CUST-107799,2025-05-02,601.0,R6,RISK_ENGINE,False
LN-500042,CUST-107445,2025-05-02,640.0,R5,RISK_ENGINE,False
LN-500043,CUST-102572,2025-05-02,729.0,R3,RISK_ENGINE,False
LN-500044,CUST-100853,2025-05-02,760.0,R2,RISK_ENGINE,False
LN-500045,CUST-107311,2025-05-02,608.0,R6,RISK_ENGINE,False
LN-500046,CUST-101096,2025-05-02,759.0,R2,RISK_ENGINE,False
LN-500047,CUST-100107,2025-05-02,673.0,R4,RISK_ENGINE,False
LN-500048,CUST-100513,2025-05-02,436.0,R7,RISK_ENGINE,False
LN-500049,CUST-101729,2025-05-02,628.0,R5,RISK_ENGINE,False
LN-500050,CUST-101980,2025-05-02,718.0,R3,RISK_ENGINE,False
LN-500051,CUST-100919,2025-05-02,766.0,R2,RISK_ENGINE,False
LN-500052,CUST-107189,2025-05-02,687.0,R4,RISK_ENGINE,False
LN-500053,CUST-100357,2025-05-02,422.0,R7,RISK_ENGINE,False
LN-500054,CUST-106827,2025-05-02,674.0,R4,RISK_ENGINE,False
LN-500055,CUST-100227,2025-05-02,697.0,R4,RISK_ENGINE,False
LN-500056,CUST-102636,2025-05-02,709.0,R3,RISK_ENGINE,False
LN-500057,CUST-104604,2025-05-02,763.0,R2,RISK_ENGINE,False
LN-500058,CUST-104228,2025-05-02,724.0,R3,RISK_ENGINE,False
LN-500059,CUST-102292,2025-05-02,633.0,R5,RISK_ENGINE,False
LN-500060,CUST-101162,2025-05-02,633.0,R5,RISK_ENGINE,False
LN-500061,CUST-103487,2025-05-02,713.0,R3,RISK_ENGINE,False
LN-500062,CUST-101479,2025-05-02,722.0,R3,RISK_ENGINE,False
LN-500063,CUST-104045,2025-05-02,716.0,R3,RISK_ENGINE,False
LN-500064,CUST-107021,2025-05-02,730.0,R3,RISK_ENGINE,False
LN-500065,CUST-102639,2025-05-02,599.0,R6,RISK_ENGINE,False
LN-500066,CUST-101369,2025-05-02,637.0,R5,RISK_ENGINE,False
LN-500067,CUST-105071,2025-05-02,678.0,R4,RISK_ENGINE,False
LN-500068,CUST-105336,2025-05-02,699.0,R4,RISK_ENGINE,False
LN-500069,CUST-101492,2025-05-02,684.0,R4,RISK_ENGINE,False
LN-500070,CUST-107422,2025-05-02,811.0,R1,RISK_ENGINE,False
LN-500071,CUST-103632,2025-05-02,675.0,R4,RISK_ENGINE,False
LN-500072,CUST-105355,2025-05-02,811.0,R1,RISK_ENGINE,False
LN-500073,CUST-103945,2025-05-02,715.0,R3,RISK_ENGINE,False
LN-500074,CUST-100430,2025-05-02,645.0,R5,RISK_ENGINE,False
LN-500075,CUST-102249,2025-05-02,631.0,R5,RISK_ENGINE,False
LN-500076,CUST-100715,2025-05-02,600.0,R6,RISK_ENGINE,False
LN-500077,CUST-105629,2025-05-02,759.0,R2,RISK_ENGINE,False
LN-500078,CUST-106085,2025-05-02,753.0,R2,RISK_ENGINE,False
LN-500079,CUST-103910,2025-05-02,602.0,R6,RISK_ENGINE,False
LN-500080,CUST-100812,2025-05-02,638.0,R5,RISK_ENGINE,False
LN-500081,CUST-107299,2025-05-02,730.0,R3,RISK_ENGINE,False
LN-500082,CUST-102882,2025-05-02,713.0,R3,RISK_ENGINE,False
LN-500083,CUST-101689,2025-05-02,674.0,R4,RISK_ENGINE,False
LN-500084,CUST-100431,2025-05-02,814.0,R1,RISK_ENGINE,False
LN-500085,CUST-105258,2025-05-02,680.0,R4,RISK_ENGINE,False
LN-500086,CUST-102086,2025-05-02,629.0,R5,RISK_ENGINE,False
LN-500087,CUST-101210,2025-05-02,690.0,R4,RISK_ENGINE,False
LN-500088,CUST-105727,2025-05-02,727.0,R3,RISK_ENGINE,False
LN-500089,CUST-106512,2025-05-02,761.0,R2,RISK_ENGINE,False
LN-500090,CUST-101465,2025-05-02,646.0,R5,RISK_ENGINE,False
LN-500091,CUST-101474,2025-05-02,686.0,R4,RISK_ENGINE,False
LN-500092,CUST-102555,2025-05-02,680.0,R4,RISK_ENGINE,False
LN-500093,CUST-107444,2025-05-02,633.0,R5,RISK_ENGINE,False
LN-500094,CUST-105337,2025-05-02,778.0,R2,RISK_ENGINE,False
