application_id,customer_id,loan_type,requested_amount,risk_band_code_at_decision,application_date,decision,decision_date,source_system
APP-200023,CUST-100216,Personal,14759.93,R1,2024-08-22,Approved,2024-08-23,RISK_ENGINE
APP-200060,CUST-102636,Credit Card,14007.77,R3,2024-08-22,Approved,2024-08-26,RISK_ENGINE
APP-200124,CUST-105367,Auto,33357.58,R4,2024-08-22,Approved,2024-08-23,RISK_ENGINE
APP-202159,CUST-101249,Credit Card,9825.79,R4,2024-08-22,Approved,2024-08-24,RISK_ENGINE
APP-202425,CUST-106294,Personal,22306.98,R4,2024-08-22,Approved,2024-08-23,RISK_ENGINE
APP-202621,CUST-103217,Credit Card,7111.37,R5,2024-08-22,Declined,2024-08-26,RISK_ENGINE
APP-202950,CUST-106411,Personal,31075.59,R7,2024-08-22,Approved,2024-08-23,RISK_ENGINE
APP-203068,CUST-101271,Personal,31226.23,R1,2024-08-22,Approved,2024-08-25,RISK_ENGINE
APP-203585,CUST-103148,Auto,29964.96,R3,2024-08-22,Approved,2024-08-23,RISK_ENGINE
APP-204614,CUST-106870,Auto,49101.51,R3,2024-08-22,Approved,2024-08-24,RISK_ENGINE
APP-205242,CUST-101556,Auto,18156.26,R5,2024-08-22,Approved,2024-08-23,RISK_ENGINE
APP-205343,CUST-107047,Auto,27581.52,R2,2024-08-22,Approved,2024-08-23,RISK_ENGINE
APP-206704,CUST-107831,Auto,31150.44,R3,2024-08-22,Approved,2024-08-25,RISK_ENGINE
APP-206889,CUST-106359,Auto,19675.97,R5,2024-08-22,Approved,2024-08-25,RISK_ENGINE
APP-207237,CUST-107160,Credit Card,7593.12,R4,2024-08-22,Approved,2024-08-25,RISK_ENGINE
APP-207340,CUST-104429,Personal,10266.57,R2,2024-08-22,Approved,2024-08-24,RISK_ENGINE
APP-207607,CUST-102851,Auto,18405.7,R6,2024-08-22,Approved,2024-08-26,RISK_ENGINE
APP-208224,CUST-103389,Personal,24373.7,R4,2024-08-22,Approved,2024-08-24,RISK_ENGINE
APP-208509,CUST-102255,Auto,8577.94,R4,2024-08-22,Approved,2024-08-23,RISK_ENGINE
APP-209274,CUST-106820,Personal,25750.84,R1,2024-08-22,Declined,2024-08-26,RISK_ENGINE
APP-210250,CUST-106975,Personal,6673.82,R3,2024-08-22,Approved,2024-08-26,RISK_ENGINE
