loan_id,customer_id,snapshot_date,bucket_index,dpd,restructured_flag,fraud_flag,outstanding_balance,delinquency_bucket
LN-500000,CUST-107530,2025-02-28,0,0,False,False,34219.84000000001,Current
LN-500001,CUST-104707,2025-02-28,0,0,False,False,13848.980000000003,Current
LN-500004,CUST-105507,2025-02-28,0,0,False,False,19249.3,Current
LN-500006,CUST-104241,2025-02-28,0,0,False,False,16991.052500000005,Current
LN-500009,CUST-104996,2025-02-28,0,0,False,False,41226.00749999999,Current
LN-500010,CUST-103092,2025-02-28,1,9,False,False,11221.699999999999,1-29
LN-500011,CUST-107344,2025-02-28,0,0,False,False,26999.477500000008,Current
LN-500012,CUST-102210,2025-02-28,0,0,False,False,3735.1699999999996,Current
LN-500013,CUST-104867,2025-02-28,0,0,False,False,5598.025,Current
LN-500014,CUST-107938,2025-02-28,0,0,False,False,5303.030000000004,Current
LN-500015,CUST-105329,2025-02-28,0,0,False,False,11764.542499999996,Current
LN-500016,CUST-103631,2025-02-28,0,0,False,False,8632.022500000003,Current
LN-500019,CUST-105349,2025-02-28,1,17,False,False,5310.782500000001,1-29
LN-500021,CUST-100216,2025-02-28,0,0,False,False,9465.714999999997,Current
LN-500022,CUST-102541,2025-02-28,0,0,False,False,11571.544999999995,Current
LN-500024,CUST-106375,2025-02-28,0,0,False,False,9464.595000000001,Current
LN-500025,CUST-102800,2025-02-28,0,0,False,False,3669.9875,Current
LN-500027,CUST-103608,2025-02-28,0,0,False,False,18708.039999999997,Current
LN-500029,CUST-102872,2025-02-28,0,0,False,False,2441.05,Current
LN-500030,CUST-104122,2025-02-28,0,0,False,False,15971.252500000004,Current
LN-500031,CUST-105559,2025-02-28,0,0,False,False,16309.127499999993,Current
LN-500032,CUST-100299,2025-02-28,0,0,False,False,12882.89,Current
LN-500033,CUST-101498,2025-02-28,0,0,False,False,8521.047499999999,Current
LN-500035,CUST-101844,2025-02-28,0,0,False,False,18694.462499999983,Current
LN-500036,CUST-107229,2025-02-28,0,0,False,False,52922.787500000006,Current
LN-500037,CUST-106505,2025-02-28,0,0,False,False,2893.54,Current
LN-500038,CUST-100918,2025-02-28,0,0,False,False,2730.339999999999,Current
LN-500039,CUST-100339,2025-02-28,0,0,False,False,22308.39,Current
LN-500040,CUST-102235,2025-02-28,0,0,False,False,12626.960000000003,Current
LN-500042,CUST-107445,2025-02-28,0,0,False,False,34709.03999999997,Current
LN-500043,CUST-102572,2025-02-28,0,0,False,False,14334.115000000002,Current
LN-500044,CUST-100853,2025-02-28,0,0,False,False,10193.477500000006,Current
LN-500045,CUST-107311,2025-02-28,0,0,False,False,598453.1875,Current
LN-500046,CUST-101096,2025-02-28,0,0,False,False,22593.257500000003,Current
LN-500047,CUST-100107,2025-02-28,0,0,False,False,11199.620000000003,Current
LN-500048,CUST-100513,2025-02-28,0,0,False,False,1804.3850000000002,Current
LN-500050,CUST-101980,2025-02-28,0,0,False,False,11044.379999999996,Current
LN-500051,CUST-100919,2025-02-28,0,0,False,False,94212.21250000002,Current
LN-500052,CUST-107189,2025-02-28,0,0,False,False,47938.815,Current
LN-500053,CUST-100357,2025-02-28,0,0,False,False,4223.127499999998,Current
LN-500054,CUST-106827,2025-02-28,0,0,False,False,2129.9399999999996,Current
LN-500056,CUST-102636,2025-02-28,0,0,False,False,22419.04,Current
LN-500057,CUST-104604,2025-02-28,0,0,False,False,17534.034999999996,Current
LN-500058,CUST-104228,2025-02-28,0,0,False,False,20744.295000000016,Current
LN-500060,CUST-101162,2025-02-28,0,0,False,False,31941.89,Current
LN-500061,CUST-103487,2025-02-28,0,0,False,False,49512.76749999998,Current
LN-500062,CUST-101479,2025-02-28,0,0,False,False,19837.72,Current
LN-500063,CUST-104045,2025-02-28,0,0,False,False,11832.747500000003,Current
LN-500064,CUST-107021,2025-02-28,0,0,False,False,3412.49,Current
LN-500065,CUST-102639,2025-02-28,0,0,False,False,5493.58,Current
LN-500066,CUST-101369,2025-02-28,0,0,False,False,18524.14000000001,Current
LN-500067,CUST-105071,2025-02-28,0,0,False,False,21337.91,Current
LN-500069,CUST-101492,2025-02-28,0,0,False,False,24441.40000000001,Current
LN-500070,CUST-107422,2025-02-28,0,0,False,False,5679.750000000002,Current
LN-500071,CUST-103632,2025-02-28,0,0,False,False,17625.600000000002,Current
LN-500072,CUST-105355,2025-02-28,0,0,False,False,10778.547500000006,Current
LN-500074,CUST-100430,2025-02-28,0,0,False,False,35488.189999999995,Current
LN-500075,CUST-102249,2025-02-28,0,0,False,False,1594.1824999999994,Current
LN-500076,CUST-100715,2025-02-28,0,0,False,False,13822.159999999989,Current
LN-500077,CUST-105629,2025-02-28,0,0,False,False,27859.93750000002,Current
LN-500079,CUST-103910,2025-02-28,0,0,False,False,57870.68500000002,Current
LN-500083,CUST-101689,2025-02-28,0,0,False,False,42896.76000000002,Current
LN-500084,CUST-100431,2025-02-28,0,0,False,False,31323.295000000002,Current
LN-500086,CUST-102086,2025-02-28,0,0,False,False,24512.0275,Current
LN-500087,CUST-101210,2025-02-28,0,0,False,False,4535.490000000003,Current
LN-500088,CUST-105727,2025-02-28,0,0,False,False,25752.98,Current
LN-500089,CUST-106512,2025-02-28,0,0,False,False,6768.317499999998,Current
LN-500090,CUST-101465,2025-02-28,0,0,False,False,43317.817500000005,Current
LN-500091,CUST-101474,2025-02-28,0,0,False,False,42856.97999999999,Current
LN-500092,CUST-102555,2025-02-28,0,0,False,False,55581.88750000002,Current
LN-500093,CUST-107444,2025-02-28,4,98,False,False,14148.655000000002,90+
LN-500097,CUST-106482,2025-02-28,0,0,False,False,20696.91,Current
LN-500098,CUST-103528,2025-02-28,0,0,False,False,40944.280000000006,Current
LN-500099,CUST-102530,2025-02-28,0,0,False,False,53679.57,Current
LN-500100,CUST-102182,2025-02-28,0,0,False,False,44199.72,Current
LN-500101,CUST-107675,2025-02-28,0,0,False,False,21874.14,Current
LN-500103,CUST-103489,2025-02-28,0,0,False,False,17962.91999999999,Current
LN-500104,CUST-101226,2025-02-28,0,0,False,False,8138.819999999997,Current
LN-500105,CUST-100146,2025-02-28,0,0,False,False,41325.810000000034,Current
LN-500106,CUST-107420,2025-02-28,0,0,False,False,36610.03,Current
LN-500107,CUST-104318,2025-02-28,0,0,False,False,51063.005,Current
LN-500109,CUST-107381,2025-02-28,0,0,False,False,29594.19000000001,Current
LN-500111,CUST-103769,2025-02-28,0,0,False,False,13520.020000000004,Current
LN-500113,CUST-101074,2025-02-28,0,0,False,False,319810.81999999983,Current
LN-500114,CUST-104832,2025-02-28,0,0,False,False,7367.119999999999,Current
LN-500115,CUST-103800,2025-02-28,0,0,False,False,43061.48999999999,Current
LN-500116,CUST-105367,2025-02-28,0,0,False,False,40017.35,Current
LN-500117,CUST-106238,2025-02-28,0,0,False,False,10063.889999999998,Current
LN-500119,CUST-103247,2025-02-28,0,0,False,False,29171.744999999995,Current
LN-500122,CUST-100099,2025-02-28,0,0,False,False,4946.697500000001,Current
LN-500123,CUST-105563,2025-02-28,0,0,False,False,16196.399999999989,Current
LN-500124,CUST-106486,2025-02-28,1,24,False,False,3083.6099999999997,1-29
LN-500125,CUST-103212,2025-02-28,0,0,False,False,13151.935000000005,Current
LN-500128,CUST-104704,2025-02-28,0,0,False,False,44537.09250000001,Current
LN-500130,CUST-105311,2025-02-28,0,0,False,False,22537.46,Current
LN-500131,CUST-104688,2025-02-28,0,0,False,False,29023.549999999996,Current
LN-500133,CUST-104975,2025-02-28,0,0,False,False,207607.36499999996,Current
LN-500134,CUST-107347,2025-02-28,0,0,False,False,3164.6175,Current
LN-500135,CUST-101244,2025-02-28,0,0,False,False,78350.51249999992,Current
LN-500137,CUST-100206,2025-02-28,0,0,False,False,3493.3700000000003,Current
LN-500138,CUST-106409,2025-02-28,0,0,False,False,14036.734999999997,Current
LN-500139,CUST-107541,2025-02-28,0,0,False,False,17748.29999999998,Current
LN-500140,CUST-107546,2025-02-28,0,0,False,False,67556.14499999996,Current
LN-500141,CUST-102791,2025-02-28,0,0,False,False,7223.060000000003,Current
LN-500142,CUST-106534,2025-02-28,0,0,False,False,11422.900000000001,Current
LN-500144,CUST-101406,2025-02-28,0,0,False,False,15371.19000000001,Current
LN-500145,CUST-105191,2025-02-28,0,0,False,False,23566.7825,Current
LN-500146,CUST-107574,2025-02-28,0,0,False,False,12015.68,Current
LN-500147,CUST-104528,2025-02-28,0,0,False,False,45930.42,Current
LN-500148,CUST-100699,2025-02-28,0,0,False,False,8201.869999999997,Current
LN-500150,CUST-104542,2025-02-28,0,0,False,False,3101.9475,Current
LN-500151,CUST-106701,2025-02-28,0,0,False,False,41957.04999999997,Current
LN-500152,CUST-105503,2025-02-28,0,0,False,False,27836.587499999994,Current
LN-500154,CUST-105313,2025-02-28,0,0,False,False,10285.882499999998,Current
LN-500156,CUST-106597,2025-02-28,1,9,False,False,45772.00249999998,1-29
LN-500157,CUST-103741,2025-02-28,0,0,False,False,20897.219999999987,Current
LN-500160,CUST-107095,2025-02-28,0,0,False,False,60593.91,Current
LN-500161,CUST-105816,2025-02-28,0,0,False,False,271699.4024999999,Current
LN-500162,CUST-103245,2025-02-28,0,0,False,False,11058.53999999999,Current
LN-500163,CUST-104815,2025-02-28,0,0,False,False,6311.02,Current
LN-500164,CUST-100191,2025-02-28,1,9,False,False,1469.0699999999997,1-29
LN-500165,CUST-106950,2025-02-28,0,0,False,False,14550.072500000015,Current
LN-500167,CUST-106671,2025-02-28,0,0,False,False,13230.380000000001,Current
