loan_id,customer_id,snapshot_date,bucket_index,dpd,restructured_flag,fraud_flag,outstanding_balance,delinquency_bucket,loan_purpose_code
LN-500000,CUST-107530,2025-04-05,0,0,False,False,33906.85000000001,Current,DEBT_CONSOLIDATION
LN-500001,CUST-104707,2025-04-05,0,0,False,False,13271.937500000004,Current,DEBT_CONSOLIDATION
LN-500003,CUST-104109,2025-04-05,0,0,False,False,36453.12,Current,DEBT_CONSOLIDATION
LN-500004,CUST-105507,2025-04-05,0,0,False,False,18647.7625,Current,DEBT_CONSOLIDATION
LN-500006,CUST-104241,2025-04-05,0,0,False,False,16292.795000000006,Current,DEBT_CONSOLIDATION
LN-500009,CUST-104996,2025-04-05,0,0,False,False,40689.44249999999,Current,DEBT_CONSOLIDATION
LN-500010,CUST-103092,2025-04-05,0,0,False,False,10885.047499999999,Current,DEBT_CONSOLIDATION
LN-500011,CUST-107344,2025-04-05,0,0,False,False,25999.49500000001,Current,DEBT_CONSOLIDATION
LN-500012,CUST-102210,2025-04-05,0,0,False,False,3601.7749999999996,Current,DEBT_CONSOLIDATION
LN-500013,CUST-104867,2025-04-05,0,0,False,False,5417.44,Current,DEBT_CONSOLIDATION
LN-500014,CUST-107938,2025-04-05,0,0,False,False,5220.170000000005,Current,DEBT_CONSOLIDATION
LN-500015,CUST-105329,2025-04-05,0,0,False,False,10893.087499999994,Current,DEBT_CONSOLIDATION
LN-500016,CUST-103631,2025-04-05,0,0,False,False,7976.417500000003,Current,DEBT_CONSOLIDATION
LN-500019,CUST-105349,2025-04-05,2,55,False,False,5310.782500000001,30-59,DEBT_CONSOLIDATION
LN-500020,CUST-103961,2025-04-05,0,0,False,False,29352.86,Current,DEBT_CONSOLIDATION
LN-500021,CUST-100216,2025-04-05,0,0,False,False,9232.952499999996,Current,DEBT_CONSOLIDATION
LN-500022,CUST-102541,2025-04-05,0,0,False,False,11126.487499999994,Current,DEBT_CONSOLIDATION
LN-500023,CUST-101789,2025-04-05,0,0,False,False,48021.95,Current,DEBT_CONSOLIDATION
LN-500024,CUST-106375,2025-04-05,0,0,False,False,9290.400000000001,Current,DEBT_CONSOLIDATION
LN-500025,CUST-102800,2025-04-05,0,0,False,False,3534.065,Current,DEBT_CONSOLIDATION
LN-500026,CUST-106068,2025-04-05,0,0,False,False,24486.22,Current,DEBT_CONSOLIDATION
LN-500027,CUST-103608,2025-04-05,0,0,False,False,18464.019999999997,Current,DEBT_CONSOLIDATION
LN-500029,CUST-102872,2025-04-05,0,0,False,False,2364.7675000000004,Current,DEBT_CONSOLIDATION
LN-500030,CUST-104122,2025-04-05,0,0,False,False,15420.520000000004,Current,DEBT_CONSOLIDATION
LN-500031,CUST-105559,2025-04-05,0,0,False,False,16121.664999999994,Current,DEBT_CONSOLIDATION
LN-500032,CUST-100299,2025-04-05,0,0,False,False,12729.5225,Current,DEBT_CONSOLIDATION
LN-500033,CUST-101498,2025-04-05,0,0,False,False,8199.492499999998,Current,DEBT_CONSOLIDATION
LN-500035,CUST-101844,2025-04-05,0,0,False,False,17804.24999999998,Current,DEBT_CONSOLIDATION
LN-500036,CUST-107229,2025-04-05,0,0,False,False,51911.52500000001,Current,DEBT_CONSOLIDATION
LN-500037,CUST-106505,2025-04-05,0,0,False,False,2772.9775,Current,DEBT_CONSOLIDATION
LN-500038,CUST-100918,2025-04-05,0,0,False,False,2687.2299999999987,Current,DEBT_CONSOLIDATION
LN-500039,CUST-100339,2025-04-05,0,0,False,False,21890.1075,Current,DEBT_CONSOLIDATION
LN-500040,CUST-102235,2025-04-05,2,32,False,False,12626.960000000003,30-59,DEBT_CONSOLIDATION
LN-500041,CUST-107799,2025-04-05,0,0,False,False,30427.78,Current,DEBT_CONSOLIDATION
LN-500042,CUST-107445,2025-04-05,0,0,False,False,34089.23249999997,Current,DEBT_CONSOLIDATION
LN-500043,CUST-102572,2025-04-05,0,0,False,False,13984.510000000002,Current,DEBT_CONSOLIDATION
LN-500044,CUST-100853,2025-04-05,0,0,False,False,9708.070000000007,Current,DEBT_CONSOLIDATION
LN-500045,CUST-107311,2025-04-05,0,0,False,False,596569.285,Current,DEBT_CONSOLIDATION
LN-500046,CUST-101096,2025-04-05,0,0,False,False,21814.180000000004,Current,DEBT_CONSOLIDATION
LN-500047,CUST-100107,2025-04-05,0,0,False,False,10732.970000000003,Current,DEBT_CONSOLIDATION
LN-500048,CUST-100513,2025-04-05,1,4,False,False,1737.5600000000002,1-29,DEBT_CONSOLIDATION
LN-500049,CUST-101729,2025-04-05,0,0,False,False,8059.07,Current,DEBT_CONSOLIDATION
LN-500050,CUST-101980,2025-04-05,0,0,False,False,10837.297499999995,Current,DEBT_CONSOLIDATION
LN-500051,CUST-100919,2025-04-05,0,0,False,False,93277.87750000003,Current,DEBT_CONSOLIDATION
LN-500052,CUST-107189,2025-04-05,0,0,False,False,47361.240000000005,Current,DEBT_CONSOLIDATION
LN-500053,CUST-100357,2025-04-05,0,0,False,False,4066.714999999998,Current,DEBT_CONSOLIDATION
LN-500054,CUST-106827,2025-04-05,0,0,False,False,2053.8749999999995,Current,DEBT_CONSOLIDATION
LN-500056,CUST-102636,2025-04-05,0,0,False,False,21645.97,Current,DEBT_CONSOLIDATION
LN-500057,CUST-104604,2025-04-05,0,0,False,False,17240.169999999995,Current,DEBT_CONSOLIDATION
LN-500058,CUST-104228,2025-04-05,0,0,False,False,19946.43750000002,Current,DEBT_CONSOLIDATION
LN-500060,CUST-101162,2025-04-05,0,0,False,False,31542.62,Current,DEBT_CONSOLIDATION
LN-500061,CUST-103487,2025-04-05,0,0,False,False,48934.79499999998,Current,DEBT_CONSOLIDATION
LN-500062,CUST-101479,2025-04-05,0,0,False,False,19564.72,Current,DEBT_CONSOLIDATION
LN-500063,CUST-104045,2025-04-05,0,0,False,False,11549.892500000004,Current,DEBT_CONSOLIDATION
LN-500064,CUST-107021,2025-04-05,0,0,False,False,3354.3199999999997,Current,DEBT_CONSOLIDATION
LN-500065,CUST-102639,2025-04-05,0,0,False,False,5150.23,Current,DEBT_CONSOLIDATION
LN-500066,CUST-101369,2025-04-05,0,0,False,False,18009.580000000013,Current,DEBT_CONSOLIDATION
LN-500067,CUST-105071,2025-04-05,0,0,False,False,20649.59,Current,DEBT_CONSOLIDATION
LN-500069,CUST-101492,2025-04-05,0,0,False,False,24148.10500000001,Current,DEBT_CONSOLIDATION
LN-500070,CUST-107422,2025-04-05,0,0,False,False,5469.390000000002,Current,DEBT_CONSOLIDATION
LN-500071,CUST-103632,2025-04-05,0,0,False,False,17303.182500000003,Current,DEBT_CONSOLIDATION
LN-500072,CUST-105355,2025-04-05,0,0,False,False,10628.150000000007,Current,DEBT_CONSOLIDATION
LN-500074,CUST-100430,2025-04-05,1,3,False,False,35037.072499999995,1-29,DEBT_CONSOLIDATION
LN-500075,CUST-102249,2025-04-05,0,0,False,False,1469.9674999999993,Current,DEBT_CONSOLIDATION
LN-500076,CUST-100715,2025-04-05,0,0,False,False,12546.259999999987,Current,DEBT_CONSOLIDATION
LN-500077,CUST-105629,2025-04-05,0,0,False,False,27412.99000000002,Current,DEBT_CONSOLIDATION
LN-500079,CUST-103910,2025-04-05,0,0,False,False,57600.25750000002,Current,DEBT_CONSOLIDATION
LN-500083,CUST-101689,2025-04-05,0,0,False,False,41084.22000000002,Current,DEBT_CONSOLIDATION
