loan_id,customer_id,applicant_role
LN-500001,CUST-106096,Co-Applicant
LN-500003,CUST-105480,Co-Applicant
LN-500007,CUST-103176,Co-Applicant
LN-500011,CUST-101036,Co-Applicant
LN-500015,CUST-106588,Co-Applicant
LN-500018,CUST-104669,Co-Applicant
LN-500023,CUST-104400,Co-Applicant
LN-500038,CUST-101515,Co-Applicant
LN-500045,CUST-104506,Co-Applicant
LN-500050,CUST-100478,Co-Applicant
LN-500060,CUST-102869,Co-Applicant
LN-500072,CUST-107930,Co-Applicant
LN-500073,CUST-106747,Co-Applicant
LN-500076,CUST-101271,Co-Applicant
LN-500077,CUST-105203,Co-Applicant
LN-500079,CUST-101957,Co-Applicant
LN-500102,CUST-101796,Co-Applicant
LN-500103,CUST-106240,Co-Applicant
LN-500110,CUST-106741,Co-Applicant
LN-500113,CUST-107377,Co-Applicant
LN-500115,CUST-102674,Co-Applicant
LN-500119,CUST-106810,Co-Applicant
LN-500126,CUST-105562,Co-Applicant
LN-500142,CUST-100610,Co-Applicant
LN-500143,CUST-101998,Co-Applicant
LN-500151,CUST-107595,Co-Applicant
LN-500161,CUST-102316,Co-Applicant
LN-500177,CUST-103558,Co-Applicant
LN-500184,CUST-106120,Co-Applicant
LN-500189,CUST-102955,Co-Applicant
LN-500199,CUST-103138,Co-Applicant
LN-500206,CUST-104442,Co-Applicant
LN-500207,CUST-104735,Co-Applicant
LN-500218,CUST-104278,Co-Applicant
LN-500220,CUST-102962,Co-Applicant
LN-500230,CUST-105406,Co-Applicant
LN-500260,CUST-106177,Co-Applicant
LN-500263,CUST-103957,Co-Applicant
LN-500265,CUST-101491,Co-Applicant
LN-500268,CUST-104079,Co-Applicant
LN-500271,CUST-101018,Co-Applicant
LN-500277,CUST-104186,Co-Applicant
LN-500290,CUST-103802,Co-Applicant
LN-500295,CUST-107731,Co-Applicant
LN-500296,CUST-101290,Co-Applicant
LN-500328,CUST-101804,Co-Applicant
LN-500330,CUST-104993,Co-Applicant
LN-500333,CUST-101515,Co-Applicant
LN-500334,CUST-102568,Co-Applicant
LN-500345,CUST-107591,Co-Applicant
