loan_id,application_id,primary_customer_id,loan_type,loan_sub_product,origination_date,disbursement_date,origination_amount,interest_rate,loan_term_months,is_secured_flag,collateral_type,due_day_of_month,risk_band_code,source_system
LN-500896,APP-200961,CUST-107734,Credit Card,Credit Card Standard,2024-04-30,2024-04-30,9198.63,0.1541,0,False,None,28,R5,LOAN_SERVICING
LN-500923,APP-200988,CUST-102968,Auto,Auto Standard,2024-04-30,2024-04-30,39616.34,0.0458,46,True,Vehicle,20,R3,LOAN_SERVICING
LN-503151,APP-203415,CUST-103094,HELOC,HELOC Standard,2024-04-30,2024-05-02,84701.05,0.0844,71,True,Real Estate,5,R2,LOAN_SERVICING
LN-503541,APP-203839,CUST-105783,Auto,Auto Standard,2024-04-30,2024-05-02,17422.43,0.0886,57,True,Vehicle,11,R4,LOAN_SERVICING
LN-503709,APP-204019,CUST-100765,Personal,Personal Standard,2024-04-30,2024-04-30,10859.16,0.1113,16,False,None,26,R6,LOAN_SERVICING
LN-504047,APP-204390,CUST-107525,Mortgage,Mortgage Standard,2024-04-30,2024-05-01,524393.3,0.0674,295,True,Real Estate,5,R3,LOAN_SERVICING
LN-504391,APP-204758,CUST-103221,Personal,Personal Standard,2024-04-30,2024-05-01,22241.93,0.1473,22,False,None,18,R3,LOAN_SERVICING
LN-504799,APP-205203,CUST-107311,HELOC,HELOC Standard,2024-04-30,2024-05-01,64917.12,0.0691,133,True,Real Estate,23,R4,LOAN_SERVICING
LN-506129,APP-206657,CUST-107507,Personal,Personal Standard,2024-04-30,2024-05-01,9887.83,0.1839,22,False,None,12,R1,LOAN_SERVICING
LN-507045,APP-207645,CUST-105053,Auto,Auto Standard,2024-04-30,2024-05-01,20263.7,0.0486,46,True,Vehicle,8,R2,LOAN_SERVICING
LN-507528,APP-208180,CUST-107463,Mortgage,Mortgage Standard,2024-04-30,2024-05-02,615765.0,0.0741,288,True,Real Estate,7,R4,LOAN_SERVICING
LN-507542,APP-208194,CUST-100034,Auto,Auto Standard,2024-04-30,2024-05-02,52146.01,0.1019,64,True,Vehicle,1,R3,LOAN_SERVICING
LN-508165,APP-208856,CUST-104275,Credit Card,Credit Card Standard,2024-04-30,2024-04-30,23671.17,0.2212,0,False,None,28,R5,LOAN_SERVICING
LN-508392,APP-209104,CUST-103284,Personal,Personal Standard,2024-04-30,2024-04-30,16326.91,0.219,25,False,None,10,R1,LOAN_SERVICING
LN-508737,APP-209479,CUST-101721,Personal,Personal Standard,2024-04-30,2024-05-01,8766.83,0.2067,42,False,None,23,R3,LOAN_SERVICING
