ptp_id,loan_id,customer_id,contact_id,collector_ref_id,ptp_created_date,ptp_promised_date,ptp_amount,ptp_status,amount_paid_against_ptp,fulfillment_date
PTP-RT-ff6bd70f6f,LN-500798,CUST-100788,CNT-RT-b33c2d7e83,COL-1100,2026-09-16,2026-09-23,45606.77,Open,0.0,
PTP-RT-4436e8b66e,LN-505711,CUST-106351,CNT-RT-4f18a5cd99,COL-1079,2026-09-16,2026-09-23,3793.97,Open,0.0,
PTP-RT-fa783e869f,LN-509069,CUST-105355,CNT-RT-1ee0d3275c,COL-1032,2026-09-16,2026-09-23,340.43,Open,0.0,
PTP-RT-f1a8ba054f,LN-509807,CUST-105144,CNT-RT-1c0c2c0f01,COL-1083,2026-09-16,2026-09-23,4786.01,Open,0.0,
PTP-RT-1fc82b396d,LN-504650,CUST-100551,CNT-RT-c9a385c623,COL-1110,2026-09-17,2026-09-24,457.71,Open,0.0,
PTP-RT-a77503933f,LN-508252,CUST-107583,CNT-RT-dc47b90f11,COL-1017,2026-09-17,2026-09-24,1419.91,Open,0.0,
PTP-RT-ab1f5d4bf6,LN-508772,CUST-106653,CNT-RT-9d735cf04d,COL-1078,2026-09-17,2026-09-24,2987.12,Open,0.0,
PTP-RT-c9b4da1057,LN-505392,CUST-104116,CNT-RT-161225a2d5,COL-1079,2026-09-18,2026-09-25,4385.52,Open,0.0,
PTP-RT-054cfec6a9,LN-507085,CUST-102724,CNT-RT-3374aeebde,COL-1019,2026-09-18,2026-09-25,1507.41,Open,0.0,
PTP-RT-a098393cfa,LN-507309,CUST-103592,CNT-RT-2d96d1c454,COL-1065,2026-09-18,2026-09-25,1508.31,Open,0.0,
PTP-RT-2853d229c7,LN-507870,CUST-100228,CNT-RT-2438052da9,COL-1100,2026-09-18,2026-09-25,1491.38,Open,0.0,
PTP-RT-4a00c43620,LN-508963,CUST-103291,CNT-RT-60c3c1eca6,COL-1068,2026-09-18,2026-09-25,765.56,Open,0.0,
PTP-RT-f07d029b5b,LN-501170,CUST-100273,CNT-RT-450d38d3f7,COL-1068,2026-09-19,2026-09-26,747.02,Open,0.0,
PTP-RT-9d312b613c,LN-501267,CUST-104187,CNT-RT-fff834820c,COL-1082,2026-09-19,2026-09-26,1152.46,Open,0.0,
PTP-RT-af69c890ef,LN-509621,CUST-105162,CNT-RT-8231d6d2fc,COL-1088,2026-09-19,2026-09-26,1855.25,Open,0.0,
