LOAN_ID,LOAN_SK,CUSTOMER_SK,CUSTOMER_ID,RISK_BAND_CODE,DUE_DAY_OF_MONTH,ORIGINATION_AMOUNT,INTEREST_RATE,LOAN_TERM_MONTHS,LOAN_TYPE,BUCKET_INDEX,DELINQUENCY_BUCKET,DPD,OUTSTANDING_BALANCE,RESTRUCTURED_FLAG,CHARGE_OFF_FLAG,SETTLEMENT_FLAG,FRAUD_FLAG,ASSIGNED_COLLECTOR_ID
LN-500000,1,7904,CUST-107530,R3,20,35471.8,0.073,85,HELOC,0,Current,0,32967.88,FALSE,FALSE,FALSE,FALSE,
LN-500001,2,4954,CUST-104707,R2,12,18465.32,0.2123,0,Credit Card,0,Current,0,11540.81,FALSE,FALSE,FALSE,FALSE,
LN-500002,3,6459,CUST-106152,R5,12,15692.68,0.2156,0,Credit Card,0,Current,0,14711.89,FALSE,FALSE,FALSE,FALSE,
LN-500003,4,4326,CUST-104109,R2,25,36453.12,0.0851,42,Auto,0,Current,0,34500.2775,FALSE,FALSE,FALSE,FALSE,
LN-500004,5,5791,CUST-105507,R1,10,19249.3,0.1666,13,Personal,0,Current,0,16843.15,FALSE,FALSE,FALSE,FALSE,
LN-500005,6,4503,CUST-104278,R4,7,37053.16,0.0672,69,Auto,0,Current,0,36650.41,FALSE,FALSE,FALSE,FALSE,
LN-500006,7,4465,CUST-104241,R1,18,26068.4,0.1317,28,Personal,3,60-89,73,16292.795,FALSE,FALSE,FALSE,FALSE,COL-1047
LN-500007,8,8179,CUST-107789,R2,25,16841.54,0.1588,0,Credit Card,0,Current,0,16315.2425,FALSE,FALSE,FALSE,FALSE,
LN-500008,9,8165,CUST-107775,R2,4,8453.1,0.1822,22,Personal,0,Current,0,8188.9425,FALSE,FALSE,FALSE,FALSE,
LN-500009,10,5256,CUST-104996,R3,5,42567.42,0.0851,119,HELOC,0,Current,0,40152.8775,FALSE,FALSE,FALSE,FALSE,
LN-500010,11,3263,CUST-103092,R5,20,12568.31,0.1445,28,Personal,0,Current,0,9875.09,FALSE,FALSE,FALSE,FALSE,
LN-500011,12,7712,CUST-107344,R5,16,31999.39,0.1106,22,Personal,0,Current,0,22999.5475,FALSE,FALSE,FALSE,FALSE,COL-1019
LN-500012,13,2338,CUST-102210,R2,16,4268.75,0.1767,0,Credit Card,0,Current,0,3201.59,FALSE,FALSE,FALSE,FALSE,
LN-500013,14,5123,CUST-104867,R3,10,5778.61,0.208,0,Credit Card,0,Current,0,4875.685,FALSE,FALSE,FALSE,FALSE,
LN-500014,15,8334,CUST-107938,R5,11,6297.35,0.0946,57,Personal,0,Current,0,4971.59,FALSE,FALSE,FALSE,FALSE,
LN-500015,16,5606,CUST-105329,R2,4,13943.18,0.2443,0,Credit Card,0,Current,0,10021.6325,FALSE,FALSE,FALSE,FALSE,
LN-500016,17,3826,CUST-103631,R1,1,12237.85,0.1509,28,Personal,0,Current,0,7320.8125,FALSE,FALSE,FALSE,FALSE,
LN-500017,18,7374,CUST-107021,R3,14,66935.23,0.0812,103,HELOC,1,1-29,17,66935.23,FALSE,FALSE,FALSE,FALSE,
LN-500018,19,1273,CUST-101203,R5,15,9472.86,0.0519,39,Auto,0,Current,0,9472.86,FALSE,FALSE,FALSE,FALSE,
LN-500019,20,5627,CUST-105349,R5,12,8092.6,0.2315,0,Credit Card,4,90+,139,5310.7825,FALSE,FALSE,FALSE,FALSE,COL-1005
LN-500020,21,4171,CUST-103961,R3,25,29352.86,0.0901,60,Auto,0,Current,0,28252.1375,FALSE,FALSE,FALSE,FALSE,
LN-500021,22,224,CUST-100216,R1,17,10862.29,0.1404,35,Personal,0,Current,0,8534.665,FALSE,FALSE,FALSE,FALSE,
