loan_id,event_type,event_date,details
LN-504270,RESTRUCTURE,2025-01-02,new_rate_reduction=0.02;new_term_months=66
LN-505161,CHARGE_OFF,2025-01-02,balance=21462.03
LN-507816,SETTLEMENT,2025-01-03,settled_amount=12267.50
LN-500034,CHARGE_OFF,2025-01-04,balance=21964.45
LN-500367,CHARGE_OFF,2025-01-04,balance=13302.70
LN-509609,RESTRUCTURE,2025-01-04,new_rate_reduction=0.02;new_term_months=56
LN-507632,RESTRUCTURE,2025-01-05,new_rate_reduction=0.02;new_term_months=44
LN-505346,FRAUD_FLAG,2025-01-07,
LN-509814,FRAUD_FLAG,2025-01-16,
LN-500571,SETTLEMENT,2025-01-19,settled_amount=108998.76
LN-500849,FRAUD_FLAG,2025-01-20,
LN-506580,SETTLEMENT,2025-01-20,settled_amount=10197.59
