payment_id,loan_id,customer_id,payment_date,payment_amount,scheduled_amount,payment_type,payment_method,payment_status,is_reversal_flag,nsf_flag,original_payment_id,effective_date,ingestion_date,is_late_arrival,is_corrupt_record
PMT-9000099-REV,LN-507578,CUST-104173,2025-01-02,-541.72,541.72,Scheduled,Check,Reversed,True,False,PMT-9000099,2025-01-02,2025-01-02,False,False
PMT-9000638-REV,LN-508098,CUST-100032,2025-01-04,-101.75,101.75,Scheduled,Debit Card,Reversed,True,False,PMT-9000638,2025-01-04,2025-01-04,False,False
PMT-9000556-REV,LN-506750,CUST-107602,2025-01-04,-686.71,686.71,Scheduled,Debit Card,Reversed,True,False,PMT-9000556,2025-01-04,2025-01-04,False,False
PMT-9000592-REV,LN-502545,CUST-104981,2025-01-04,-955.78,955.78,Scheduled,Debit Card,Reversed,True,False,PMT-9000592,2025-01-04,2025-01-04,False,False
PMT-9000227-REV,LN-509387,CUST-105278,2025-01-04,-153.91,153.91,Scheduled,Debit Card,Reversed,True,False,PMT-9000227,2025-01-04,2025-01-04,False,False
PMT-9000026,LN-508291,CUST-107258,2025-01-01,1424.29,1424.29,Scheduled,ACH,Returned,False,True,,2025-01-01,2025-01-01,False,False
PMT-9000081,LN-507073,CUST-106933,2025-01-01,182.87,182.87,Scheduled,ACH,Returned,False,True,,2025-01-01,2025-01-01,False,False
PMT-9000197,LN-503396,CUST-101897,2025-01-01,440.42,440.42,Scheduled,ACH,Returned,False,True,,2025-01-01,2025-01-01,False,False
PMT-9000220,LN-502659,CUST-104873,2025-01-01,405.78,405.78,Scheduled,ACH,Returned,False,True,,2025-01-01,2025-01-01,False,False
PMT-9000361,LN-501829,CUST-100966,2025-01-02,843.04,843.04,Scheduled,ACH,Returned,False,True,,2025-01-02,2025-01-02,False,False
PMT-9000050,LN-509237,CUST-107794,2025-01-01,383.66,0.0,Extra,Debit Card,Posted,False,False,,2025-01-01,2025-01-04,True,False
PMT-9000423,LN-508790,CUST-107702,2025-01-02,1167.14,1167.14,Scheduled,Check,Posted,False,False,,2025-01-02,2025-01-04,True,False
PMT-9000328,LN-507764,CUST-102151,2025-01-02,1191.28,1191.28,Scheduled,ACH,Posted,False,False,,2025-01-02,2025-01-05,True,False
PMT-9000641,LN-503141,CUST-101445,2025-01-03,579.88,579.88,Scheduled,ACH,Posted,False,False,,2025-01-03,2025-01-05,True,False
PMT-9000731,LN-506128,CUST-102760,2025-01-03,197.18,197.18,Scheduled,Cash,Posted,False,False,,2025-01-03,2025-01-05,True,False
PMT-9000298,LN-507799,,2025-01-02,1377.19,1377.19,Scheduled,ACH,Posted,False,False,,2025-01-02,2025-01-02,False,True
PMT-9000508,LN-505367,,2025-01-03,149.14,149.14,Scheduled,Debit Card,Posted,False,False,,2025-01-03,2025-01-03,False,True
PMT-9000533,LN-507444,CUST-100807,2025-01-03,-83.87,0.0,Extra,ACH,Posted,False,False,,2025-01-03,2025-01-03,False,True
PMT-9000554,LN-505071,,2025-01-03,473.64,473.64,Scheduled,ACH,Posted,False,False,,2025-01-03,2025-01-03,False,True
PMT-9000776,LN-508838,CUST-103343,2025-01-04,-375.55,375.55,Scheduled,ACH,Posted,False,False,,2025-01-04,2025-01-04,False,True
