loan_id,customer_id,snapshot_date,bucket_index,dpd,restructured_flag,fraud_flag,outstanding_balance,delinquency_bucket
LN-500000,CUST-107530,2025-01-15,0,0,False,False,34845.82000000001,Current
LN-500001,CUST-104707,2025-01-15,0,0,False,False,14426.022500000003,Current
LN-500006,CUST-104241,2025-01-15,0,0,False,False,18387.567500000005,Current
LN-500009,CUST-104996,2025-01-15,0,0,False,False,41494.28999999999,Current
LN-500010,CUST-103092,2025-01-15,0,0,False,False,11558.352499999999,Current
LN-500011,CUST-107344,2025-01-15,0,0,False,False,27999.460000000006,Current
LN-500012,CUST-102210,2025-01-15,0,0,False,False,4001.9599999999996,Current
LN-500014,CUST-107938,2025-01-15,0,0,False,False,5385.890000000004,Current
LN-500015,CUST-105329,2025-01-15,0,0,False,False,12200.269999999997,Current
LN-500016,CUST-103631,2025-01-15,0,0,False,False,8959.825000000003,Current
LN-500019,CUST-105349,2025-01-15,0,0,False,False,5310.782500000001,Current
LN-500021,CUST-100216,2025-01-15,0,0,False,False,9931.239999999998,Current
LN-500022,CUST-102541,2025-01-15,0,0,False,False,12461.659999999996,Current
LN-500024,CUST-106375,2025-01-15,0,0,False,False,9812.985,Current
